FIPS,first_row,last_row,pct,row_span
1001,36147,92246,0.2,56100
1011,81881,99615,0.3,17735
1013,77920,100834,0.3,22915
1003,66654,111394,0.3,44741
1007,77148,111675,0.3,34528
1005,77772,111687,0.3,33916
1009,73274,111738,0.3,38465
1015,74587,137540,0.4,62954
1023,84485,141664,0.4,57180
1025,81735,141911,0.4,60177
1027,83915,141936,0.4,58022
1021,84111,144334,0.4,60224
1029,102726,144563,0.4,41838
1019,84107,144867,0.4,60761
1017,84741,144877,0.4,60137
1063,112240,153697,0.4,41458
1065,112248,154681,0.4,42434
1067,116103,154704,0.4,38602
1031,108935,162562,0.4,53628
1041,113336,162586,0.4,49251
1037,109068,164736,0.4,55669
1035,109063,167795,0.4,58733
1049,111592,170886,0.5,59295
1071,115904,171597,0.5,55694
1057,121110,172269,0.5,51160
1059,115295,172285,0.5,56991
1047,112292,173279,0.5,60988
1039,112617,173696,0.5,61080
1045,111611,174891,0.5,63281
1051,111609,174924,0.5,63316
1043,110576,179681,0.5,69106
1053,112680,180311,0.5,67632
1055,112835,180334,0.5,67500
1061,112227,180372,0.5,68146
1033,108442,183401,0.5,74960
1069,108448,183781,0.5,75334
1075,158123,187040,0.5,28918
1085,178652,204536,0.5,25885
1077,147108,211402,0.6,64295
1079,152324,211922,0.6,59599
1083,151556,213363,0.6,61808
1087,178661,218727,0.6,40067
1081,147145,221014,0.6,73870
1073,108344,221026,0.6,112683
1091,185900,225226,0.6,39327
1093,185920,236274,0.6,50355
1095,184983,243273,0.6,58291
1089,179473,254714,0.7,75242
1109,223086,266876,0.7,43791
1105,226718,275704,0.7,48987
1107,231268,275739,0.7,44472
1111,219782,275968,0.7,56187
1099,222260,276482,0.7,54223
1097,184806,283491,0.8,98686
1103,219118,283620,0.8,64503
1113,218870,287442,0.8,68573
1101,218839,288206,0.8,69368
1115,218830,295520,0.8,76691
1119,261349,299021,0.8,37673
1121,253213,321882,0.9,68670
1117,253144,325138,0.9,71995
1123,263366,326739,0.9,63374
1129,293178,328537,0.9,35360
1131,293191,328543,0.9,35353
2100,308867,330480,0.9,21614
1133,292778,332053,0.9,39276
2110,296699,343883,0.9,47185
2130,294481,345402,0.9,50922
2150,297189,345421,0.9,48233
2122,294453,353910,0.9,59458
2020,290533,361631,1.0,71099
2090,292829,364916,1.0,72088
1125,260548,365087,1.0,104540
1127,290521,365140,1.0,74620
2280,339316,369022,1.0,29707
2180,332843,374006,1.0,41164
2220,334386,374026,1.0,39641
2170,298690,390073,1.0,91384
4001,329396,405548,1.1,76153
4003,329911,431236,1.2,101326
4005,369062,437901,1.2,68840
4011,408110,445086,1.2,36977
4012,405185,446973,1.2,41789
4009,404899,461214,1.2,56316
4007,371830,478904,1.3,107075
4013,37009,1542093,4.1,1505085
4015,1498670,1637718,4.4,139049
4017,1575992,1648823,4.4,72832
4019,1577977,1825002,4.9,247026
4021,1755515,1960153,5.2,204639
4023,1898305,1966770,5.2,68466
4025,1896656,2003341,5.3,106686
5001,1971387,2030813,5.4,59427
5003,1970679,2034442,5.4,63764
5005,1976140,2034447,5.4,58308
4027,1964959,2037575,5.4,72617
5025,2047584,2090645,5.6,43062
5027,2047589,2096027,5.6,48439
5029,2044744,2096058,5.6,51315
5023,2045761,2098568,5.6,52808
5039,2038303,2098647,5.6,60345
5017,2045091,2101725,5.6,56635
5019,2044714,2101756,5.6,57043
5021,2044738,2101764,5.6,57027
5043,2055658,2106178,5.6,50521
5037,2041311,2106824,5.6,65514
5035,2046007,2107072,5.6,61066
5041,2042993,2107202,5.6,64210
5033,2041282,2107748,5.6,66467
5065,2079076,2109631,5.6,30556
5031,2038205,2110669,5.6,72465
5011,2042241,2110710,5.6,68470
5013,2046992,2110732,5.6,63741
5015,2045086,2110736,5.6,65651
5007,1970660,2111998,5.6,141339
5009,2041457,2112041,5.6,70585
5083,2074003,2114004,5.6,40002
5077,2083693,2115829,5.6,32137
5079,2080414,2118160,5.7,37747
5081,2080437,2118167,5.7,37731
5057,2077499,2120621,5.7,43123
5075,2078974,2126579,5.7,47606
5053,2079976,2128533,5.7,48558
5049,2086270,2129224,5.7,42955
5067,2079078,2133903,5.7,54826
5061,2086827,2138945,5.7,52119
5047,2079951,2139312,5.7,59362
5089,2120583,2140467,5.7,19885
5063,2073944,2143918,5.7,69975
5069,2076189,2144373,5.7,68185
5059,2077521,2144603,5.7,67083
5045,2042499,2144991,5.7,102493
5051,2072918,2145003,5.7,72086
5071,2086797,2145819,5.7,59023
5073,2078962,2145826,5.7,66865
5101,2118632,2147333,5.7,28702
5103,2118636,2147356,5.7,28721
5087,2105098,2147821,5.7,42724
5093,2111339,2147833,5.7,36495
5095,2118070,2147840,5.7,29771
5097,2112610,2147862,5.7,35253
5099,2123171,2147866,5.7,24696
5055,2076250,2148874,5.7,72625
5085,2072889,2148988,5.7,76100
5105,2118767,2149117,5.7,30351
5091,2106575,2152394,5.7,45820
5109,2112708,2158402,5.8,45695
5107,2111814,2164412,5.8,52599
5111,2112712,2164417,5.8,51706
5117,2127099,2165955,5.8,38857
5115,2114310,2176749,5.8,62440
5113,2110438,2180418,5.8,69981
5121,2150825,2208176,5.9,57352
5123,2150844,2209301,5.9,58458
5119,2112137,2219975,5.9,107839
5129,2181365,2220606,5.9,39242
5125,2147565,2224038,5.9,76474
5127,2166236,2224044,5.9,57809
5137,2194954,2249830,6.0,54877
5133,2191855,2252630,6.0,60776
5135,2185118,2252633,6.0,67516
5141,2187893,2253729,6.0,65837
5139,2189774,2253777,6.0,64004
5131,2168507,2257246,6.0,88740
5149,2235139,2274969,6.1,39831
5147,2235131,2290748,6.1,55618
5145,2226369,2291299,6.1,64931
5143,2186252,2291453,6.1,105202
6003,2457119,2500730,6.7,43612
6001,2223633,2511074,6.7,287442
6005,2453175,2512142,6.7,58968
6007,2449667,2550424,6.8,100758
6009,2473483,2582031,6.9,108549
6011,2517490,2592367,6.9,74878
6015,2789595,2849619,7.6,60025
6013,2514964,2852683,7.6,337720
6017,2789316,2891381,7.7,102066
6019,25699,3083204,8.2,3057506
6021,3013814,3083240,8.2,69427
6023,31889,3083244,8.2,3051356
6025,3012693,3136912,8.4,124220
6027,3082149,3158772,8.4,76624
6029,3081429,3398816,9.1,317388
6031,3321677,3433061,9.2,111385
6033,27518,3449669,9.2,3422152
6035,26519,3478859,9.3,3452341
6037,923,4984828,13.3,4983906
6039,4893825,5025120,13.4,131296
6043,4965197,5056178,13.5,90982
6045,4965068,5056246,13.5,91179
6041,4923736,5059523,13.5,135788
6047,4965078,5142597,13.7,177520
6049,5069075,5161027,13.8,91953
6051,5075772,5161049,13.8,85278
6053,5069178,5225270,13.9,156093
6055,5144982,5245801,14.0,100820
6057,5145435,5283822,14.1,138388
6059,5179302,5673120,15.1,493819
6061,5580308,5757294,15.4,176987
6063,5657725,5757321,15.4,99597
6065,1737,6559274,17.5,6557538
6067,16434,6973004,18.6,6956571
6069,6871382,6973034,18.6,101653
6071,6874257,7683804,20.5,809548
6073,66301,8190032,21.8,8123732
6075,8096984,8223796,21.9,126813
6077,8123219,8440244,22.5,317026
6079,8345945,8476275,22.6,130331
6081,8386240,8540954,22.8,154715
6083,8461732,8588887,22.9,127156
6085,8502001,8790173,23.4,288173
6087,8683467,8790427,23.4,106961
6089,8706455,8830435,23.6,123981
6091,8738492,8830440,23.6,91949
6093,8738497,8841605,23.6,103109
6095,8762219,8968918,23.9,206700
6097,8873349,9045355,24.1,172007
6099,8945133,9188332,24.5,243200
6101,9102211,9226500,24.6,124290
6103,9127355,9226576,24.6,99222
6105,9141229,9232904,24.6,91676
6107,9144978,9323689,24.9,178712
6109,9246006,9338595,24.9,92590
6111,9252379,9466924,25.3,214546
6113,9390240,9493823,25.3,103584
6115,9404212,9528201,25.4,123990
8001,9428176,9641372,25.7,213197
8003,9555010,9654824,25.8,99815
8009,9720457,9763314,26.0,42858
8011,9703484,9767470,26.1,63987
8007,9699869,9778703,26.1,78835
8005,9554781,9778998,26.1,224218
8017,9739747,9794381,26.1,54635
8013,9699864,9809286,26.2,109423
8025,9750443,9812266,26.2,61824
8027,9746725,9812279,26.2,65555
8021,9739896,9819953,26.2,80058
8023,9729657,9820005,26.2,90349
8019,9729640,9820301,26.2,90662
8015,9737447,9821398,26.2,83952
8014,9730221,9824069,26.2,93849
8029,9729722,9828379,26.2,98658
8031,9747362,9956638,26.6,209277
8033,9880601,9956648,26.6,76048
8035,9880804,10015685,26.7,134882
8037,9931216,10022431,26.7,91216
8039,9946410,10022727,26.7,76318
8041,9947323,10126520,27.0,179198
8047,10057937,10130941,27.0,73005
8043,10050638,10130952,27.0,80315
8049,10053750,10133214,27.0,79465
8045,10043915,10133957,27.0,90043
8057,10074427,10134170,27.0,59744
8055,10066550,10136628,27.0,70079
8051,10063330,10137790,27.0,74461
8061,10166014,10217012,27.3,50999
8063,10166018,10217027,27.3,51010
8065,10153277,10227667,27.3,74391
8059,10066569,10238483,27.3,171915
8067,10153761,10238549,27.3,84789
8073,10208035,10268903,27.4,60869
8071,10187833,10269494,27.4,81662
8075,10197637,10275879,27.4,78243
8069,10150416,10276197,27.4,125782
8079,10244878,10302571,27.5,57694
8081,10218947,10302609,27.5,83663
8091,10235354,10310024,27.5,74671
8083,10218450,10313726,27.5,95277
8085,10222213,10313776,27.5,91564
8077,10184042,10313825,27.5,129784
8095,10261150,10324436,27.5,63287
8087,10218492,10324636,27.5,106145
8089,10218746,10325375,27.5,106630
8099,10252833,10327865,27.5,75033
8093,10221583,10328979,27.6,107397
8097,10219515,10339453,27.6,119939
8109,48960,10370550,27.7,10321591
8103,41438,10371003,27.7,10329566
8121,55079,10371459,27.7,10316381
8117,32904,10374708,27.7,10341805
8105,41447,10378396,27.7,10336950
8111,10312144,10382835,27.7,70692
8101,36459,10383340,27.7,10346882
8107,32873,10395239,27.7,10362367
8113,36006,10395302,27.7,10359297
8115,32897,10395304,27.7,10362408
8119,33062,10395693,27.7,10362632
8125,10352729,10455057,27.9,102329
8123,33151,10468599,27.9,10435449
9001,10346447,10514553,28.0,168107
9003,10380025,10556631,28.2,176607
9005,10410390,10562556,28.2,152167
9007,10401847,10566176,28.2,164330
9009,10447294,10599094,28.3,151801
9011,10492921,10632315,28.4,139395
9013,10500866,10640070,28.4,139205
9015,10500926,10643476,28.4,142551
10001,10500949,10652503,28.4,151555
10003,10520300,10662943,28.4,142644
10005,10521006,10673965,28.5,152960
11001,196,10755154,28.7,10754959
12003,142,10785775,28.8,10785634
12001,42,10789590,28.8,10789549
12005,1,10818669,28.9,10818669
12007,21743,10822139,28.9,10800397
12009,10709715,10973149,29.3,263435
12011,10848761,11590657,30.9,741897
12013,11510571,11590660,30.9,80090
12015,11481576,11675140,31.1,193565
12017,11575833,11717949,31.3,142117
12019,11613495,11776101,31.4,162607
12023,11754966,11875523,31.7,120558
12021,11672472,11875972,31.7,203501
12027,12533492,12645786,33.7,112295
12025,11754979,12653694,33.8,898716
12029,12537368,12654305,33.8,116938
12031,12534658,12917791,34.5,383134
12033,12817626,12985718,34.6,168093
12037,12907393,13020702,34.7,113310
12043,12930966,13020775,34.7,89810
12039,12923308,13020963,34.7,97656
12041,12926407,13020975,34.7,94569
12035,12879012,13027527,34.8,148516
12045,12933661,13038693,34.8,105033
12047,12933664,13041587,34.8,107924
12049,12933972,13059577,34.8,125606
12051,12933988,13059962,34.8,125975
12053,12935083,13113054,35.0,177972
12055,26695,13144603,35.1,13117909
12059,13380519,13465690,35.9,85172
12057,25560,13479074,36.0,13453515
12061,13378002,13526721,36.1,148720
12063,13414880,13526751,36.1,111872
12065,13414903,13526836,36.1,111934
12067,13415978,13526848,36.1,110871
12069,13415168,13637786,36.4,222619
12071,13521649,13927626,37.2,405978
12079,54204,13974392,37.3,13920189
12077,64955,13974542,37.3,13909588
12073,38092,13978147,37.3,13940056
12075,43127,13981309,37.3,13938183
12081,49977,14068539,37.5,14018563
12083,13961246,14150556,37.7,189311
12085,14057676,14200124,37.9,142449
12087,14091193,14230595,38.0,139403
12089,14112828,14242649,38.0,129822
12091,14128953,14273413,38.1,144461
12093,14148577,14280577,38.1,132001
12095,14149631,14585607,38.9,435977
12097,14470479,14710574,39.2,240096
12099,14613592,15105359,40.3,491768
12101,14979816,15250670,40.7,270855
12103,15134685,15465884,41.3,331200
12105,15367707,15662867,41.8,295161
12107,15555498,15683802,41.8,128305
12109,15559346,15724785,41.9,165440
12111,15592979,15825782,42.2,232804
12113,15701592,15862126,42.3,160535
12115,15742126,15971937,42.6,229812
12117,15851309,16075202,42.9,223894
12119,15967826,16081832,42.9,114007
12125,15996321,16090927,42.9,94607
12121,15967209,16094556,42.9,127348
12123,15982213,16094564,42.9,112352
12127,15980164,16240221,43.3,260058
12129,16141636,16273514,43.4,131879
13007,16195064,16278362,43.4,83299
12131,16145277,16290517,43.5,145241
12133,16178953,16294970,43.5,116018
13001,16179769,16303514,43.5,123746
13003,16192683,16303531,43.5,110849
13005,16184961,16303542,43.5,118582
13011,16182078,16316569,43.5,134492
13009,16180505,16316570,43.5,136066
13013,16185122,16320256,43.5,135135
13023,16246366,16341735,43.6,95370
13015,16204994,16358274,43.6,153281
13017,16216511,16358548,43.6,142038
13019,16234049,16358568,43.6,124520
13025,16246413,16362578,43.6,116166
13021,16231225,16374205,43.7,142981
13027,16265779,16374208,43.7,108430
13037,16266455,16374792,43.7,108338
13029,16249815,16382111,43.7,132297
13043,16295615,16382720,43.7,87106
13033,16249802,16386306,43.7,136505
13031,16245970,16386667,43.7,140698
13035,16265870,16387008,43.7,121139
13039,16279377,16390813,43.7,111437
13049,16326174,16422615,43.8,96442
13045,16279388,16430075,43.8,150688
13047,16304584,16430406,43.8,125823
13053,16365540,16450407,43.9,84868
13055,16360521,16471321,43.9,110801
13051,16318498,16471424,43.9,152927
13061,16412259,16528641,44.1,116383
13059,16399572,16530400,44.1,130829
13057,16359535,16534840,44.1,175306
13063,16412222,16638533,44.4,226312
13065,16514337,16638538,44.4,124202
13069,16619648,16755278,44.7,135631
13067,16510370,16759952,44.7,249583
13075,16657425,16760045,44.7,102621
13071,16648287,16769001,44.7,120715
