FIPS,first_row,last_row,pct,row_span
32003,162,3872629,2.6,3872468
6065,586,3874801,2.6,3874216
6059,2512,4276990,2.9,4274479
6073,930,4333267,2.9,4332338
12025,5456,4372574,2.9,4367119
6067,4239,7145178,4.8,7140940
6001,8574,8283412,5.5,8274839
12099,402768,8331219,5.6,7928452
6085,1658,8647794,5.8,8646137
4013,92,9738990,6.5,9738899
53033,4324960,10214855,6.8,5889896
12071,1146,12176792,8.1,12175647
17031,1,13147187,8.8,13147187
42101,8270933,13488530,9.0,5217598
12057,8637544,13806991,9.2,5169448
48439,8320559,13907464,9.3,5586906
26125,12170647,16115714,10.7,3945068
26163,6310941,16773346,11.2,10462406
12011,9725943,17536853,11.7,7810911
12095,13482702,18025556,12.0,4542855
12103,13802874,18291095,12.2,4488222
48029,13906982,19307083,12.9,5400102
53053,16110093,19712410,13.1,3602318
6013,16767011,20605071,13.7,3838061
53061,17531042,20699845,13.8,3168804
6071,13141931,20737846,13.8,7595916
6037,3858,21009441,14.0,21005584
12031,18018989,21062797,14.0,3043809
15003,19298927,21525778,14.3,2226852
51059,19707832,22552132,15.0,2844301
36103,18282832,22817814,15.2,4534983
6029,20596878,22913432,15.3,2316555
17043,20729728,23045573,15.4,2315846
8059,22543628,24076725,16.0,1533098
39035,21052214,24382877,16.3,3330664
36081,21515867,24755486,16.5,3239620
48113,20690410,25761005,17.2,5070596
37119,22808836,25841344,17.2,3032509
39049,22904567,26205847,17.5,3301281
4019,23036627,26263845,17.5,3227219
42091,24375022,26637875,17.8,2262854
12127,24746098,27886666,18.6,3140569
25017,24067234,28052214,18.7,3984981
6077,25751636,28564161,19.0,2812526
6081,26194638,28612269,19.1,2417632
24033,25831842,28815956,19.2,2984115
6019,26249521,29088526,19.4,2839006
24031,26593700,29674007,19.8,3080308
48453,27764811,31659080,21.1,3894270
17197,28631214,31740261,21.2,3109048
36047,28451811,32057612,21.4,3605802
49035,28406451,32598128,21.7,4191678
42017,29375475,32728620,21.8,3353146
37183,28888080,32801258,21.9,3913179
48201,21000685,32960089,22.0,11959405
42003,27933868,33021842,22.0,5087975
8005,31660464,33700953,22.5,2040490
55079,31254461,33779966,22.5,2525506
12015,32562034,34476771,23.0,1914738
26099,31335718,34593118,23.1,3257401
29095,32211168,34744139,23.2,2532972
12101,32406737,34862990,23.2,2456254
47157,32337385,35227261,23.5,2889877
12009,32621936,35465887,23.6,2843952
17097,33398633,35847047,23.9,2448415
12105,33302987,36604523,24.4,3301537
13135,34195262,37157163,24.8,2961902
41051,34469157,37204526,24.8,2735370
13067,34828013,37565250,25.0,2737238
13121,34345937,37695586,25.1,3349650
34025,35072492,37920963,25.3,2848472
29189,34096971,37991509,25.3,3894539
6099,36182237,38150528,25.4,1968292
35001,35439572,38168482,25.4,2728911
42045,36776711,38648521,25.8,1871811
45019,37570991,39123859,26.1,1552869
47037,36726923,39174403,26.1,2447481
