FIPS,row
1001,92246
1011,99615
1013,100834
1003,111394
1007,111675
1005,111687
1009,111738
1015,137540
1023,141664
1025,141911
1027,141936
1021,144334
1029,144563
1019,144867
1017,144877
1063,153697
1065,154681
1067,154704
1031,162562
1041,162586
1037,164736
1035,167795
1049,170886
1071,171597
1057,172269
1059,172285
1047,173279
1039,173696
1045,174891
1051,174924
1043,179681
1053,180311
1055,180334
1061,180372
1033,183401
1069,183781
1075,187040
1085,204536
1077,211402
1079,211922
1083,213363
1087,218727
1081,221014
1073,221026
1091,225226
1093,236274
1095,243273
1089,254714
1109,266876
1105,275704
1107,275739
1111,275968
1099,276482
1097,283491
1103,283620
1113,287442
1101,288206
1115,295520
1119,299021
1121,321882
1117,325138
1123,326739
1129,328537
1131,328543
2100,330480
1133,332053
2110,343883
2130,345402
2150,345421
2122,353910
2020,361631
2090,364916
1125,365087
1127,365140
2280,369022
2180,374006
2220,374026
2170,390073
4001,405548
4003,431236
4005,437901
4011,445086
4012,446973
4009,461214
4007,478904
4013,1542093
4015,1637718
4017,1648823
4019,1825002
4021,1960153
4023,1966770
4025,2003341
5001,2030813
5003,2034442
5005,2034447
4027,2037575
5025,2090645
5027,2096027
5029,2096058
5023,2098568
5039,2098647
5017,2101725
5019,2101756
5021,2101764
5043,2106178
5037,2106824
5035,2107072
5041,2107202
5033,2107748
5065,2109631
5031,2110669
5011,2110710
5013,2110732
5015,2110736
5007,2111998
5009,2112041
5083,2114004
5077,2115829
5079,2118160
5081,2118167
5057,2120621
5075,2126579
5053,2128533
5049,2129224
5067,2133903
5061,2138945
5047,2139312
5089,2140467
5063,2143918
5069,2144373
5059,2144603
5045,2144991
5051,2145003
5071,2145819
5073,2145826
5101,2147333
5103,2147356
5087,2147821
5093,2147833
5095,2147840
5097,2147862
5099,2147866
5055,2148874
5085,2148988
5105,2149117
5091,2152394
5109,2158402
5107,2164412
5111,2164417
5117,2165955
5115,2176749
5113,2180418
5121,2208176
5123,2209301
5119,2219975
5129,2220606
5125,2224038
5127,2224044
5137,2249830
5133,2252630
5135,2252633
5141,2253729
5139,2253777
5131,2257246
5149,2274969
5147,2290748
5145,2291299
5143,2291453
6003,2500730
6001,2511074
6005,2512142
6007,2550424
6009,2582031
6011,2592367
6015,2849619
6013,2852683
6017,2891381
6019,3083204
6021,3083240
6023,3083244
6025,3136912
6027,3158772
6029,3398816
6031,3433061
6033,3449669
6035,3478859
6037,4984828
6039,5025120
6043,5056178
6045,5056246
6041,5059523
6047,5142597
6049,5161027
6051,5161049
6053,5225270
6055,5245801
6057,5283822
6059,5673120
6061,5757294
6063,5757321
6065,6559274
6067,6973004
6069,6973034
6071,7683804
6073,8190032
6075,8223796
6077,8440244
6079,8476275
6081,8540954
6083,8588887
6085,8790173
6087,8790427
6089,8830435
6091,8830440
6093,8841605
6095,8968918
6097,9045355
6099,9188332
6101,9226500
6103,9226576
6105,9232904
6107,9323689
6109,9338595
6111,9466924
6113,9493823
6115,9528201
8001,9641372
8003,9654824
8009,9763314
8011,9767470
8007,9778703
8005,9778998
8017,9794381
8013,9809286
8025,9812266
8027,9812279
8021,9819953
8023,9820005
8019,9820301
8015,9821398
8014,9824069
8029,9828379
8031,9956638
8033,9956648
8035,10015685
8037,10022431
8039,10022727
8041,10126520
8047,10130941
8043,10130952
8049,10133214
8045,10133957
8057,10134170
8055,10136628
8051,10137790
8061,10217012
8063,10217027
8065,10227667
8059,10238483
8067,10238549
8073,10268903
8071,10269494
8075,10275879
8069,10276197
8079,10302571
8081,10302609
8091,10310024
8083,10313726
8085,10313776
8077,10313825
8095,10324436
8087,10324636
8089,10325375
8099,10327865
8093,10328979
8097,10339453
8109,10370550
8103,10371003
8121,10371459
8117,10374708
8105,10378396
8111,10382835
8101,10383340
8107,10395239
8113,10395302
8115,10395304
8119,10395693
8125,10455057
8123,10468599
9001,10514553
9003,10556631
9005,10562556
9007,10566176
9009,10599094
9011,10632315
9013,10640070
9015,10643476
10001,10652503
10003,10662943
10005,10673965
11001,10755154
12003,10785775
12001,10789590
12005,10818669
12007,10822139
12009,10973149
12011,11590657
12013,11590660
12015,11675140
12017,11717949
12019,11776101
12023,11875523
12021,11875972
12027,12645786
12025,12653694
12029,12654305
12031,12917791
12033,12985718
12037,13020702
12043,13020775
12039,13020963
12041,13020975
12035,13027527
12045,13038693
12047,13041587
12049,13059577
12051,13059962
12053,13113054
12055,13144603
12059,13465690
12057,13479074
12061,13526721
12063,13526751
12065,13526836
12067,13526848
12069,13637786
12071,13927626
12079,13974392
12077,13974542
12073,13978147
12075,13981309
12081,14068539
12083,14150556
12085,14200124
12087,14230595
12089,14242649
12091,14273413
12093,14280577
12095,14585607
12097,14710574
12099,15105359
12101,15250670
12103,15465884
12105,15662867
12107,15683802
12109,15724785
12111,15825782
12113,15862126
12115,15971937
12117,16075202
12119,16081832
12125,16090927
12121,16094556
12123,16094564
12127,16240221
12129,16273514
13007,16278362
12131,16290517
12133,16294970
13001,16303514
13003,16303531
13005,16303542
13011,16316569
13009,16316570
13013,16320256
13023,16341735
13015,16358274
13017,16358548
13019,16358568
13025,16362578
13021,16374205
13027,16374208
13037,16374792
13029,16382111
13043,16382720
13033,16386306
13031,16386667
13035,16387008
13039,16390813
13049,16422615
13045,16430075
13047,16430406
13053,16450407
13055,16471321
13051,16471424
13061,16528641
13059,16530400
13057,16534840
13063,16638533
13065,16638538
13069,16755278
13067,16759952
13075,16760045
13071,16769001
13073,16769050
13079,16801450
13081,16801457
13077,16801511
13083,16802137
13085,16805407
13087,16814116
13093,16989372
13091,16993330
13095,16993681
13089,16998110
13099,17032321
13101,17032332
13097,17036273
13107,17036973
13103,17041641
13105,17041660
13109,17045858
13111,17049708
13113,17081678
13115,17090736
13119,17122050
13117,17122719
13125,17332363
13121,17352814
13123,17373584
13127,17373671
13131,17373702
13129,17373810
13133,17406440
13137,17572566
13135,17573341
13141,17596168
13139,17604129
13143,17604141
13145,17613828
13147,17617307
13149,17619287
13151,17688994
13155,17691526
13153,17695731
13165,17697986
13161,17711319
13167,17712170
13163,17725099
13171,17728365
13159,17728545
13173,17728616
13169,17729972
13157,17730071
13175,17736186
13177,17738396
13179,17742720
13201,17752504
13193,17766109
13181,17766251
13183,17766252
13185,17766257
13205,17767512
13187,17768090
13197,17768440
13199,17768476
13209,17769312
13195,17771467
13189,17771881
13207,17771963
13191,17772325
13211,17772331
13213,17787744
13215,17814368
13217,17844062
13219,17844865
13221,17855276
13235,17891188
13223,17892009
13227,17893946
13225,17899842
13229,17899941
13239,17903561
13233,17904156
13237,17905270
13231,17905320
13241,17911313
13243,17911849
13245,17941391
13249,17962333
13253,17965936
13251,17966831
13269,17980500
13247,17981014
13265,17981606
13273,17982894
13259,17983877
13255,17984033
13271,17984039
13267,17985141
13257,17985349
13261,17985380
13263,17985389
13275,17989389
13279,17990044
13277,17992977
13281,17992985
13289,18000111
13287,18001672
13291,18001681
13283,18005665
13295,18017655
13285,18020789
13293,18024359
13309,18038499
13297,18039031
13307,18039480
13315,18039551
13301,18043205
13303,18043215
13299,18046012
13305,18046478
13317,18055091
13311,18056293
13313,18058357
13321,18060976
13319,18061547
15001,18081973
15003,18123843
15007,18123873
15009,18134399
16001,18219901
16003,18224132
16007,18228988
16009,18234021
16011,18240110
16005,18244420
16013,18247624
16015,18247887
16025,18258539
16023,18260529
16017,18272284
16021,18272424
16019,18275725
16033,18324097
16049,18324468
16031,18324710
16035,18325689
16029,18326111
16037,18326120
16047,18331144
16039,18336461
16041,18337154
16043,18337179
16045,18338181
16027,18338232
16051,18354506
16053,18354511
16061,18364758
16057,18365419
16071,18365498
16073,18365514
16063,18366660
16067,18366723
16069,18378553
16075,18378801
16059,18378866
16065,18378884
16077,18378949
17003,18381239
16055,18382241
16081,18401391
16079,18402510
17005,18407216
16083,18417645
16085,18422459
17001,18422470
16087,18422476
17015,18424130
17007,18425203
17011,18428470
17017,18428493
17021,18430693
17023,18434738
17025,18434758
17027,18447632
